A	a
ENSINADO'R	e~ s i~ n a d o X
ENSINA'R	e~ s i~ n a X
ENSI'NO	e~ s i~ n u
ENSOALHEIRA'R	e~ s o a L e j r a X
ENSOLARA'DO	e~ s o l a r a d u
ENSOMBRA'R	e~ s o~ b r a X
ENSO'MBRO	e~ s o~ b r u
ENSONA'DO	e~ s o n a d u
ENSONORENTA'DO	e~ s o n o r e~ t a d u
ENSOPADE'LA	e~ s o p a d E l a
ENSOPA'R	e~ s o p a X
ENSURDECEDO'R	e~ s u R d e s e d o X
ENSURDECE'R	e~ s u R d e s e X
ENSURDECÊ'NCIA	e~ s u R d e s e~ s i a
ENTABUA'R	e~ t a b u a X
ENTA'LA	e~ t a l a
ENTALADE'LA	e~ t a l a d E l a
ENTALA'NÇO	e~ t a l a~ s u
ENTALA'R	e~ t a l a X
ENTA'LHA	e~ t a L a
ENTALHADO'R	e~ t a L a d o X
ENTALHADU'RA	e~ t a L a d u r a
ENTALHA'R	e~ t a L a X
ENTA'LHE	e~ t a L i
ENTA'LHO	e~ t a L u
ENTALÃ'O	e~ t a l a~ w~
ENTA'NTO	e~ t a~ t u
ENTARDECE'R	e~ t a R d e s e X
ENTARRAXA'R	e~ t a R a S a X
E'NTE	e~ tS i
ENTEA'DO	e~ t e a d u
ENTEA'R	e~ t e a X
ENTELHA'R	e~ t e L a X
ENTENDEDO'R	e~ t e~ d e d o X
ENTENDE'R	e~ t e~ d e X
ENTENRECE'R	e~ t e~ R e s e X
ENTERNECEDO'R	e~ t e R n e s e d o X
ENTERNECE'R	e~ t e R n e s e X
ENTERRADO'URO	e~ t e R a d ow r u
ENTERRA'R	e~ t e R a X
ENTE'RRO	e~ t e R u
ENTESOIRA'R	e~ t e z o j r a X
ENTESOURA'R	e~ t e z ow r a X
ENTIDA'DE	e~ tS i d a dZ i
ENTIJOLA'R	e~ tS i Z o l a X
ENTOADO'R	e~ t o a d o X
ENTOALHA'DO	e~ t o a L a d u
ENTOA'R	e~ t o a X
ENTOMOLOGI'A	e~ t o m o l o Z i a
ENTONTA'R	e~ t o~ t a X
ENTONTECEDO'R	e~ t o~ t e s e d o X
ENTONTECE'R	e~ t o~ t e s e X
ENTO'RNA	e~ t O R n a
ENTORNA'R	e~ t o R n a X
ENTORPECE'R	e~ t o X p e s e X
ENTO'RSE	e~ t O X s i
ENTORTADU'RA	e~ t o X t a d u r a
ENTORTA'R	e~ t o X t a X
ENTRA'DA	e~ t r a d a
ENTRA'DAS	e~ t r a d a js
ENTRADO'TE	e~ t r a d O tS i
ENTRA'NHA	e~ t r a~ J a
ENTRANHADAME'NTE	e~ t r a J a d a m e~ tS i
ENTRANHA'R	e~ t r a J a X
ENTRANÇA'R	e~ t r a~ s a X
ENTRAPA'R	e~ t r a p a X
ENTRA'R	e~ t r a X
ENTRAVA'R	e~ t r a v a X
ENTRA'VE	e~ t r a v i
E'NTRE	e~ t r i
ENTREABE'RTO	e~ t r e a b E X t u
ENTREABRI'R	e~ t r e a b r i X
ENTREAJU'DA	e~ t r e a Z u d a
ENTREA'TO	e~ t r e a t u
ENTRE'CHO	e~ t r e S u
ENTRECO'STO	e~ t r e k o s t u
ENTRE'GA	e~ t r E g a
ENTREGADO'R	e~ t r e g a d o X
ENTREGA'R	e~ t r e g a X
ENTRE'GUE	e~ t r E g i
ENTRELAÇA'R	e~ t r e l a s a X
ENTRELI'NHA	e~ t r e l i~ J a
ENTRELINHA'R	e~ t r e l i~ J a X
ENTREMEA'R	e~ t r e m e a X
ENTREME'NTES	e~ t r e m e~ tS i s
ENTREPO'STO	e~ t r e p o s t u
ENTRETA'NTO	e~ t r e t a~ t u
ENTRETENIME'NTO	e~ t r e t e n i~ m e~ t u
ENTRETE'R	e~ t r e t e X
ENTRETÉ'M	e~ t r e t e~j~
ENTREVE'R	e~ t r e v e X
ENTREVI'STA	e~ t r e v i s t a
ENTREVISTA'R	e~ t r e v i s t a X
ENTRINCHEIRA'R	e~ t r i~ S e j r a X
ENTRISTECE'R	e~ t r i s t e s e X
ENTRONCA'R	e~ t r o~ k a X
ENTRONIZA'R	e~ t r o n i z a X
ENTROPI'A	e~ t r o p i a
ENTROSA'R	e~ t r o z a X
ENTRU'DO	e~ t r u d u
ENTRÓ'PICO	e~ t r O p i k u
ENTULHA'R	e~ t u L a X
ENTU'LHO	e~ t u L u
ENTUPI'R	e~ t u p i X
ENTURVA'R	e~ t u R v a X
ENTURVECE'R	e~ t u R v e s e X
ENTUSIASMA'R	e~ t u z i a z m a X
ENTUSIA'SMO	e~ t u z i a z m u
ENTUSIA'STA	e~ t u z i a s t a
ENTUSIÁ'STICO	e~ t u z i a s tS i k u
ENTÃ'O	e~ t a~ w~
ENUBLA'R	e n u b l a X
ENUMERA'R	e n u~ m e r a X
ENUMERATI'VO	e n u~ m e r a tS i v u
ENUNCIA'DO	e n u~ s i a d u
ENUNCIADO'R	e n u~ s i a d o X
ENUNCIA'R	e n u~ s i a X
ENUNCIATI'VO	e n u~ s i a tS i v u
ENVAIDA'R	e~ v a j d a X
ENVAIDECE'R	e~ v a j d e s e X
ENVAIDECIDAME'NTE	e~ v a j d e s i d a m e~ tS i
ENVASILHA'R	e~ v a z i L a X
ENVELHACA'R	e~ v e L a k a X
ENVELHECE'R	e~ v e L e s e X
ENVELO'PE	e~ v e l O p i
ENVENENADO'R	e~ v e n e n a d o X
ENVENENA'R	e~ v e n e n a X
ENVEREDA'R	e~ v e r e d a X
ENVERGADU'RA	e~ v e R g a d u r a
ENVERGA'R	e~ v e R g a X
ENVERGONHADE'LA	e~ v e R g o J a d E l a
ENVERGONHA'R	e~ v e R g o J a X
ENVERNIZADE'LA	e~ v e R n i z a d E l a
ENVERNIZADO'R	e~ v e R n i z a d o X
ENVERNIZA'R	e~ v e R n i z a X
ENVESGA'R	e~ v e z g a X
ENVIA'R	e~ v i a X
ENVIDA'R	e~ v i d a X
ENVIDRAÇA'R	e~ v i d r a s a X
ENVIESA'R	e~ v i e z a X
ENVINAGRA'R	e~ v i~ n a g r a X
ENVI'O	e~ v i u
ENVIUVA'R	e~ v i u v a X
ENVO'LTA	e~ v O w t a
ENVO'LTO	e~ v o w t u
ENVOLTU'RA	e~ v o w t u r a
ENVOLTÓ'RIO	e~ v o w t O r i u
ENVOLVE'NTE	e~ v o w v e~ tS i
ENVOLVE'R	e~ v o w v e X
ENXABI'DO	e~ S a b i d u
ENXA'DA	e~ S a d a
ENXADA'DA	e~ S a d a d a
ENXADÃ'O	e~ S a d a~ w~
ENXAGUA'DO	e~ S a g u a d u
ENXAGUA'R	e~ S a g u a X
ENXA'ME	e~ S a~ m i
ENXAQUE'CA	e~ S a k e k a
ENXAQUETA'DO	e~ S a k e t a d u
ENXAROPA'R	e~ S a r o p a X
ENXERGA'R	e~ S e R g a X
ENXERTADO'R	e~ S e X t a d o X
ENXERTADU'RA	e~ S e X t a d u r a
ENXERTA'R	e~ S e X t a X
ENXERTI'A	e~ S e X tS i a
ENXE'RTO	e~ S e X t u
ENXOFRAÇÃ'O	e~ S o f r a s a~ w~
ENXO'FRE	e~ S o f r i
ENXOTADU'RA	e~ S o t a d u r a
ENXOTA'R	e~ S o t a X
ENXOVA'L	e~ S o v a w
ENXOVALHA'R	e~ S o v a L a X
ENXOVA'LHO	e~ S o v a L u
ENXUGA'R	e~ S u g a X
ENXURRA'DA	e~ S u R a d a
ENXURRA'R	e~ S u R a X
ENXU'TO	e~ S u t u
ENZI'MA	e~ z i~ m a
ENZIMÁ'TICO	e~ z i~ m a tS i k u
ENÉ'RGICO	e n E R Z i k u
EOCÉ'NICO	e o s E n i k u
EPICAME'NTE	E p i k a m e~ tS i
EPICA'RPO	e p i k a X p u
EPICENTRA'L	e p i s e~ t r a w
EPICE'NTRO	e p i s e~ t r u
EPICURI'SMO	e p i k u r i z m u
EPICURI'STA	e p i k u r i s t a
EPICÁ'LICE	e p i k a l i s i
EPIDEMI'A	e p i d e m i a
EPIDEMIA'R	e p i d e m i a X
EPIDEMIOLOGI'A	e p i d e m i o l o Z i a
EPIDE'RME	e p i d E R m i
EPIDÉ'MICO	e p i d E m i k u
EPIDÉ'RMICO	e p i d E R m i k u
EPIGLO'TE	e p i g l O tS i
EPIGRAFA'R	e p i g r a f a X
EPIGRAFI'A	e p i g r a f i a
EPIGRAFI'STA	e p i g r a f i s t a
EPIGRA'MA	e p i g r a~ m a
EPIGÁ'STRIO	e p i g a s t r i u
EPILEPSI'A	e p i l e p s i a
EPILOGA'R	e p i l o g a X
EPILÉ'TICO	e p i l E tS i k u
EPIMORFI'SMO	e p i~ m o X f i z m u
EPISCOPA'DO	e p i s k o p a d u
EPISCOPA'L	e p i s k o p a w
EPISTEMOLOGI'A	e p i s t e m o l o Z i a
EPISTOLA'R	e p i s t o l a X
EPISTOLOGRAFI'A	e p i s t o l o g r a f i a
EPISTOLÁ'RIO	e p i s t o l a r i u
EPISÓ'DICO	e p i z O dZ i k u
EPISÓ'DIO	e p i z O dZ i u
EPITELIA'L	e p i t e l i a w
EPITÁ'FIO	e p i t a f i u
EPITÉ'LIO	e p i t E l i u
EPOPE'IA	e p o p ej a
EPOPE'ICO	e p o p ej k u
EPÊ'NTESE	e p e~ t e z i
EPÍ'GRAFE	e p i g r a f i
EPÍ'LOGO	e p i l o g u
EPÍ'STOLA	e p i s t o l a
EPÍ'TETO	e p i t e t u
EPÔ'NIMO	e p o n i~ m u
EQUACIONA'L	e k u a s i o n a w
EQUACIONA'R	e k u a s i o n a X
EQUADO'R	e k u a d o X
EQUALIZADO'R	e k u a l i z a d o X
EQUATORIA'L	e k u a t o r i a w
EQUATORIA'NO	e k u a t o r i a~ n u
EQUAÇÃ'O	e k u a s a~ w~
EQUE'STRE	e k E s t r i
EQUIDA'DE	e k i d a dZ i
EQUIDISTA'NTE	e k i dZ i s t a~ tS i
EQUIDISTA'R	e k i dZ i s t a X
EQUIDISTÂ'NCIA	e k i dZ i s t a~ s i a
EQUILATERA'L	e k i l a t e r a w
EQUILIBRA'NTE	e k i l i b r a~ tS i
EQUILIBRA'R	e k i l i b r a X
EQUILIBRI'SMO	e k i l i b r i z m u
EQUILIBRI'STA	e k i l i b r i s t a
EQUILÁ'TERO	e k i l a t e r u
EQUILÍ'BRIO	e k i l i b r i u
EQUIMOLECULA'R	e k i~ m o l e k u l a X
EQUIMO'SE	e k i~ m O z i
EQUI'NO	e k i~ n u
EQUINOCIA'L	e k i~ n o s i a w
EQUINODE'RMES	e k i~ n o d E R m i s
EQUI'NOS	e k i~ n u s
EQUINÓ'CIO	e k i~ n O s i u
EQUI'PA	e k i p a
EQUIPA'GEM	e k i p a Z e~j~
EQUIPA'R	e k i p a X
EQUIPARA'R	e k i p a r a X
EQUIPENDE'NTE	e k i p e~ d e~ tS i
EQUIPOLÊ'NCIA	e k i p o l e~ s i a
EQUIPOTENCIA'L	e k i p o t e~ s i a w
EQUISSONA'NTE	e k i s o n a~ tS i
EQUISSONÂ'NCIA	e k i s o n a~ s i a
EQUITADO'R	e k i t a d o X
EQUITATI'VO	e k i t a tS i v u
EQUITAÇÃ'O	e k i t a s a~ w~
EQUIVALE'NTE	e k i v a l e~ tS i
EQUIVALE'R	e k i v a l e X
EQUIVALÊ'NCIA	e k i v a l e~ s i a
EQUIVOCA'R	e k i v o k a X
EQUÍ'DEO	e k i d e u
EQUÍ'VOCO	e k i v o k u
E'RA	E r a
ERASMI'SMO	e r a z m i z m u
EREMI'TA	e r e m i t a
ERETILIDA'DE	e r e tS i l i d a dZ i
ERE'TO	e r E t u
ERETO'R	e r e t o X
EREÇÃ'O	e r e s a~ w~
ERG	e R g
ERGATI'VO	e R g a tS i v u
ERGOFOBI'A	e R g o f o b i a
ERGONOMI'A	e R g o n o m i a
ERGUE'R	e R g e X
ERIGI'R	e r i Z i X
ERIÇA'R	e r i s a X
ERMI'DA	e R m i d a
ERMI'TA	e R m i t a
ERMITÃ'O	e R m i t a~ w~
E'RMO	e R m u
EROSI'VO	e r o z i v u
EROSÃ'O	e r o z a~ w~
EROTI'SMO	e r o tS i z m u
EROTIZAÇÃ'O	e r o tS i z a s a~ w~
ERRADICA'R	e R a dZ i k a X
ERRADICATI'VO	e R a dZ i k a tS i v u
ERRA'NTE	e R a~ tS i
ERRA'R	e R a X
ERRA'TA	e R a t a
E'RRO	e R u
ERRONEAME'NTE	e R o n e a m e~ tS i
ERRÁ'TICO	e R a tS i k u
ERRÂ'NCIA	e R a~ s i a
ERRÔ'NEO	e R o n e u
ERUBESCE'R	e r u b e s e X
ERUBESCÊ'NCIA	e r u b e s e~ s i a
ERUDITI'SMO	e r u dZ i tS i z m u
ERUDI'TO	e r u dZ i t u
ERUDIÇÃ'O	e r u dZ i s a~ w~
ERUPTI'VO	e r u p tS i v u
ERUPÇÃ'O	e r u p s a~ w~
E'RVA	E R v a
ERVANÁ'RIO	e R v a n a r i u
ERVAÇA'L	e R v a s a w
ERVI'LHA	e R v i L a
ERVILHA'L	e R v i L a w
ERVILHE'IRA	e R v i L ej r a
ERÁ'RIO	e r a r i u
ERÉ'TIL	e r E tS i w
ERÓ'TICO	e r O tS i k u
ESBAFORI'R	e z b a f o r i X
ESBANJADO'R	e z b a~ Z a d o X
ESBANJA'R	e z b a~ Z a X
ESBARRA'R	e z b a R a X
ESBA'RRO	e z b a R u
ESBATE'R	e z b a t e X
ESBELTA'R	e z b e w t a X
ESBELTE'Z	e z b e w t e js
ESBELTE'ZA	e z b e w t e z a
ESBE'LTO	e z b E w t u
ESBOFETEADO'R	e z b o f e t e a d o X
ESBOFETEA'R	e z b o f e t e a X
ESBORDA'R	e z b o R d a X
ESBOROA'R	e z b o r o a X
ESBORRACHA'R	e z b o R a S a X
ESBORRATA'R	e z b o R a t a X
ESBOÇA'R	e z b o s a X
ESBO'ÇO	e z b o s u
ESBRACEJA'R	e z b r a s e Z a X
ESBRANQUIÇA'R	e z b r a~ k i s a X
ESBUGALHA'DO	e z b u g a L a d u
ESBURACA'R	e z b u r a k a X
ESCABE'CHE	e s k a b E S i
ESCABRO'SO	e s k a b r o z u
ESCACA'R	e s k a k a X
ESCACHA'R	e s k a S a X
ESCA'DA	e s k a d a
ESCADARI'A	e s k a d a r i a
ESCADO'TE	e s k a d O tS i
ESCADÃ'O	e s k a d a~ w~
ESCADÓ'RIO	e s k a d O r i u
ESCAFANDRI'STA	e s k a f a~ d r i s t a
ESCAFA'NDRO	e s k a f a~ d r u
ESCA'LA	e s k a l a
ESCALA'DA	e s k a l a d a
ESCALADO'R	e s k a l a d o X
ESCALA'R	e s k a l a X
ESCALDADE'LA	e s k a w d a d E l a
ESCALDADI'ÇO	e s k a w d a dZ i s u
ESCALDADU'RA	e s k a w d a d u r a
ESCALDA'NTE	e s k a w d a~ tS i
ESCALDA'R	e s k a w d a X
ESCALDÃ'O	e s k a w d a~ w~
ESCALE'NO	e s k a l e~ n u
ESCALFA'R	e s k a w f a X
ESCALONADO'R	e s k a l o n a d o X
ESCALONA'R	e s k a l o n a X
ESCALO'PE	e s k a l O p i
ESCALPA'R	e s k a w p a X
ESCALPELIZA'R	e s k a w p e l i z a X
ESCALÃ'O	e s k a l a~ w~
ESCA'MA	e s k a~ m a
ESCAMADE'IRA	e s k a m a d ej r a
ESCAMADU'RA	e s k a m a d u r a
ESCAMA'R	e s k a m a X
ESCAMARI'A	e s k a m a r i a
ESCAMO'SO	e s k a m o z u
ESCAMOTEADO'R	e s k a m o t e a d o X
ESCAMOTEA'R	e s k a m o t e a X
ESCAMOTE'IO	e s k a m o t ej u
ESCANCARA'R	e s k a~ k a r a X
ESCANDALIZADO'R	e s k a~ d a l i z a d o X
ESCANDALIZA'R	e s k a~ d a l i z a X
ESCANDALO'SO	e s k a~ d a l o z u
ESCANDINA'VO	e s k a~ dZ i~ n a v u
ESCANELA'DO	e s k a n e l a d u
ESCANGALHA'R	e s k a~ g a L a X
ESCANHOADE'LA	e s k a J o a d E l a
ESCANHOA'R	e s k a J o a X
ESCANI'NHO	e s k a n i~ J u
ESCANTILHÃ'O	e s k a~ tS i L a~ w~
ESCANZELA'DO	e s k a~ z e l a d u
ESCANÇA'R	e s k a~ s a X
ESCANÇÃ'O	e s k a~ s a~ w~
ESCAPA'DA	e s k a p a d a
ESCAPADE'LA	e s k a p a d E l a
ESCAPADI'ÇO	e s k a p a dZ i s u
ESCAPA'R	e s k a p a X
ESCAPARA'TE	e s k a p a r a tS i
ESCAPATÓ'RIO	e s k a p a t O r i u
ESCA'PE	e s k a p i
ESCAPULA'R	e s k a p u l a X
ESCAPULI'R	e s k a p u l i X
ESCAQUEIRA'R	e s k a k e j r a X
ESCARAFUNCHA'R	e s k a r a f u~ S a X
ESCARAMU'ÇA	e s k a r a m u s a
ESCARAMUÇA'R	e s k a r a m u s a X
ESCARAVE'LHO	e s k a r a v e L u
ESCARLA'TE	e s k a R l a tS i
ESCARLATI'NA	e s k a R l a tS i~ n a
ESCARLATINO'SO	e s k a R l a tS i~ n o z u
ESCARNECEDO'R	e s k a R n e s e d o X
ESCARNECE'R	e s k a R n e s e X
ESCARNI'R	e s k a R n i X
ESCA'RPA	e s k a X p a
ESCARPA'DA	e s k a X p a d a
ESCARPA'R	e s k a X p a X
ESCARRACHA'R	e s k a R a S a X
ESCARRADO'R	e s k a R a d o X
ESCARRADU'RA	e s k a R a d u r a
ESCARRANCHA'R	e s k a R a~ S a X
ESCARRAPACHA'R	e s k a R a p a S a X
ESCARRA'R	e s k a R a X
ESCA'RRO	e s k a R u
ESCASSEA'R	e s k a s e a X
ESCASSE'Z	e s k a s e js
ESCASSE'ZA	e s k a s e z a
ESCA'SSO	e s k a s u
ESCATOLOGI'A	e s k a t o l o Z i a
ESCAVACA'R	e s k a v a k a X
ESCAVADO'R	e s k a v a d o X
ESCAVADO'RA	e s k a v a d o r a
ESCAVA'R	e s k a v a X
ESCAVAÇÃ'O	e s k a v a s a~ w~
ESCLARECEDO'R	e s k l a r e s e d o X
ESCLARECE'R	e s k l a r e s e X
ESCLERO'SE	e s k l e r O z i
ESCOADO'R	e s k o a d o X
ESCOADO'URO	e s k o a d ow r u
ESCOADU'RA	e s k o a d u r a
ESCOA'NTE	e s k o a~ tS i
ESCOA'R	e s k o a X
ESCOCÊ'S	e s k o s e js
ESCO'LA	e s k O l a
ESCOLA'R	e s k o l a X
ESCOLARIDA'DE	e s k o l a r i d a dZ i
ESCOLARIZA'R	e s k o l a r i z a X
ESCOLASTICI'SMO	e s k o l a s tS i s i z m u
ESCO'LHA	e s k o L a
ESCOLHE'R	e s k o L e X
ESCO'LHO	e s k o L u
ESCO'LTA	e s k O w t a
ESCOLTA'R	e s k o w t a X
ESCOLÁ'STICA	e s k o l a s tS i k a
ESCOLÁ'STICO	e s k o l a s tS i k u
ESCO'MBROS	e s k o~ b r u s
ESCONDEDU'RA	e s k o~ d e d u r a
ESCONDE'R	e s k o~ d e X
ESCONDERI'JO	e s k o~ d e r i Z u
ESCONDI'DAS	e s k o~ dZ i d a js
ESCONJUNTA'R	e s k o~ Z u~ t a X
ESCONJURADO'R	e s k o~ Z u r a d o X
ESCONJURA'R	e s k o~ Z u r a X
ESCONJU'RO	e s k o~ Z u r u
ESCO'PO	e s k o p u
ESCORA'R	e s k o r a X
ESCORBU'TO	e s k o R b u t u
ESCORBÚ'TICO	e s k o R b u tS i k u
ESCORIA'R	e s k o r i a X
ESCORPIÃ'O	e s k o X p i a~ w~
ESCORRAÇA'R	e s k o R a s a X
ESCORREDO'IRO	e s k o R e d o j r u
ESCORREDO'URO	e s k o R e d ow r u
ESCORREGADE'LA	e s k o R e g a d E l a
ESCORREGADI'O	e s k o R e g a dZ i u
ESCORREGADI'ÇO	e s k o R e g a dZ i s u
ESCORREGADO'IRO	e s k o R e g a d o j r u
ESCORREGADU'RA	e s k o R e g a d u r a
ESCORREGA'R	e s k o R e g a X
ESCORREGÃ'O	e s k o R e g a~ w~
ESCORRE'ITO	e s k o R ej t u
ESCORRE'R	e s k o R e X
ESCORRÊ'NCIA	e s k o R e~ s i a
ESCO'RVA	e s k O R v a
ESCOTE'IRO	e s k o t ej r u
ESCOTI'LHA	e s k o tS i L a
ESCO'VA	e s k o v a
ESCOVADE'LA	e s k o v a d E l a
ESCOVA'DO	e s k o v a d u
ESCOVA'R	e s k o v a X
ESCOVE'IRO	e s k o v ej r u
ESCOVI'NHA	e s k o v i~ J a
ESCRA'VA	e s k r a v a
ESCRAVARI'A	e s k r a v a r i a
ESCRAVATU'RA	e s k r a v a t u r a
ESCRAVIDÃ'O	e s k r a v i d a~ w~
ESCRAVIZADO'R	e s k r a v i z a d o X
ESCRAVIZA'R	e s k r a v i z a X
ESCRA'VO	e s k r a v u
ESCREVEDO'R	e s k r e v e d o X
ESCREVEDU'RA	e s k r e v e d u r a
ESCREVE'NTE	e s k r e v e~ tS i
ESCREVE'R	e s k r e v e X
ESCREVINHADO'R	e s k r e v i~ J a d o X
ESCREVINHA'R	e s k r e v i~ J a X
ESCRI'BA	e s k r i b a
ESCRI'TA	e s k r i t a
ESCRI'TO	e s k r i t u
ESCRITO'R	e s k r i t o X
ESCRITU'RA	e s k r i t u r a
ESCRITURA'R	e s k r i t u r a X
ESCRITURÁ'RIO	e s k r i t u r a r i u
ESCRITÓ'RIO	e s k r i t O r i u
ESCRIVANI'NHA	e s k r i v a n i~ J a
ESCRIVÃ'	e s k r i v a~
ESCRIVÃ'O	e s k r i v a~ w~
ESCRO'QUE	e s k r O k i
ESCROTA'L	e s k r o t a w
ESCRO'TO	e s k r o t u
ESCRUPULOSIDA'DE	e s k r u p u l o z i d a dZ i
ESCRUPULO'SO	e s k r u p u l o z u
ESCRUTINADO'R	e s k r u tS i~ n a d o X
ESCRUTINA'R	e s k r u tS i~ n a X
ESCRUTÍ'NIO	e s k r u tS i n i u
ESCRÚ'PULO	e s k r u p u l u
ESCUDA'R	e s k u d a X
ESCUDEIRA'R	e s k u d e j r a X
ESCUDEIRI'CE	e s k u d e j r i s i
ESCUDE'IRO	e s k u d ej r u
ESCUDE'TE	e s k u d e tS i
ESCU'DO	e s k u d u
ESCULPI'R	e s k u w p i X
ESCULTU'RA	e s k u w t u r a
ESCULTURA'L	e s k u w t u r a w
ESCULTURA'R	e s k u w t u r a X
ESCUMADE'IRA	e s k u~ m a d ej r a
ESCUMA'LHA	e s k u~ m a L a
ESCU'NA	e s k u~ n a
ESCU'RAS	e s k u r a js
ESCURECE'R	e s k u r e s e X
ESCURIDÃ'O	e s k u r i d a~ w~
ESCU'RO	e s k u r u
ESCU'SA	e s k u z a
ESCUSA'R	e s k u z a X
ESCUSATÓ'RIO	e s k u z a t O r i u
ESCU'TA	e s k u t a
ESCUTADO'R	e s k u t a d o X
ESCUTA'R	e s k u t a X
ESCUTE'IRO	e s k u t ej r u
ESCUTI'SMO	e s k u tS i z m u
ESCUTI'STA	e s k u tS i s t a
ESCÁ'RNIO	e s k a R n i u
ESCÂ'NDALO	e s k a~ d a l u
ESCÓ'CIO	e s k O s i u
ESCÓ'LIO	e s k O l i u
ESCÓ'RIA	e s k O r i a
ESDRÚ'XULO	e z d r u S u l u
ESFACELA'R	e s f a s e l a X
ESFAIMA'R	e s f a i~ m a X
ESFALFA'NTE	e s f a w f a~ tS i
ESFALFA'R	e s f a w f a X
ESFAQUEADO'R	e s f a k e a d o X
ESFAQUEA'R	e s f a k e a X
ESFARELA'R	e s f a r e l a X
ESFARFALHA'DA	e s f a X f a L a d a
ESFARRAPA'R	e s f a R a p a X
ESFARRIPA'R	e s f a R i p a X
ESFENO'IDE	e s f e n O j dZ i
ESFE'RA	e s f E r a
ESFERICIDA'DE	e s f e r i s i d a dZ i
ESFEROGRÁ'FICA	e s f e r o g r a f i k a
ESFEROIDA'L	e s f e r o j d a w
ESFERO'IDE	e s f e r O j dZ i
ESFEROVI'TE	e s f e r o v i tS i
ESFI'NGE	e s f i~ Z i
ESFOLA'R	e s f o l a X
ESFOLHA'DA	e s f o L a d a
ESFOMEA'R	e s f o m e a X
ESFORRICA'R	e s f o R i k a X
ESFORÇA'R	e s f o X s a X
ESFO'RÇO	e s f o X s u
ESFRE'GA	e s f r E g a
ESFREGADE'IRA	e s f r e g a d ej r a
ESFREGADE'LA	e s f r e g a d E l a
ESFREGA'R	e s f r e g a X
ESFREGO'NA	e s f r e g o~ n a
ESFREGÃ'O	e s f r e g a~ w~
ESFRIA'NTE	e s f r i a~ tS i
ESFRIA'R	e s f r i a X
ESFUMA'R	e s f u~ m a X
ESFUMAÇA'R	e s f u~ m a s a X
ESFUZIA'NTE	e s f u z i a~ tS i
ESFUZIA'R	e s f u z i a X
ESFÉ'RICO	e s f E r i k u
ESFÍ'NGICO	e s f i~ Z i k u
ESGADANHA'R	e z g a d a J a X
ESGA'NA	e z g a~ n a
ESGANADU'RA	e z g a n a d u r a
ESGANA'R	e z g a n a X
ESGANIÇA'R	e z g a n i s a X
ESGARAVATA'R	e z g a r a v a t a X
ESGOTADO'R	e z g o t a d o X
ESGOTADO'URO	e z g o t a d ow r u
ESGOTADU'RA	e z g o t a d u r a
ESGOTA'NTE	e z g o t a~ tS i
ESGOTA'R	e z g o t a X
ESGO'TO	e z g o t u
ESGRAVATA'R	e z g r a v a t a X
ESGRI'MA	e z g r i~ m a
ESGRIMIDU'RA	e z g r i~ m i d u r a
ESGRIMI'R	e z g r i~ m i X
ESGROUVIA'R	e z g r ow v i a X
ESGUEIRA'R	e z g e j r a X
ESGUEIRI'ÇO	e z g e j r i s u
ESGUE'LHA	e z g e L a
ESGUELHA'R	e z g e L a X
ESGUICHA'DA	e z g i S a d a
ESGUICHADE'LA	e z g i S a d E l a
ESGUICHA'R	e z g i S a X
ESGUI'CHE	e z g i S i
ESGUI'CHO	e z g i S u
ESGU'IO	e z g i u
ESLAVI'SMO	e z l a v i z m u
ESLAVI'STA	e z l a v i s t a
ESLA'VO	e z l a v u
ESLAVÔ'NICO	e z l a v o n i k u
ESLOVA'CO	e z l o v a k u
ESLOVE'NO	e z l o v e~ n u
ESLÁ'VICO	e z l a v i k u
ESMAGADE'LA	e z m a g a d E l a
ESMAGADO'R	e z m a g a d o X
ESMAGADU'RA	e z m a g a d u r a
ESMAGA'R	e z m a g a X
ESMALTADO'R	e z m a w t a d o X
ESMALTA'GEM	e z m a w t a Z e~j~
ESMALTA'R	e z m a w t a X
ESMA'LTE	e z m a w tS i
ESME'GMA	e z m E g m a
ESMERA'LDA	e z m e r a w d a
ESMERA'R	e z m e r a X
ESMIGALHA'R	e z m i g a L a X
ESMIUÇA'R	e z m i u s a X
ESMOCADE'LA	e z m o k a d E l a
ESMOCA'R	e z m o k a X
ESMO'LA	e z m O l a
ESMO'LFO	e z m O w f u
ESMORECE'R	e z m o r e s e X
ESMURRA'R	e z m u R a X
ESOTERI'SMO	e z o t e r i z m u
ESOTÉ'RICO	e z o t E r i k u
ESPACEJA'R	e s p a s e Z a X
ESPACIA'L	e s p a s i a w
ESPA'DA	e s p a d a
ESPADACHI'M	e s p a d a S i~
ESPADA'RTE	e s p a d a X tS i
ESPADI'M	e s p a dZ i~
ESPADÃ'O	e s p a d a~ w~
ESPAIRECE'R	e s p a j r e s e X
ESPALDA'R	e s p a w d a X
ESPA'LHA	e s p a L a
ESPALHADO'R	e s p a L a d o X
ESPALHAFATA'R	e s p a L a f a t a X
ESPALHAFA'TO	e s p a L a f a t u
ESPALHAFATO'SO	e s p a L a f a t o z u
ESPALHA'NÇO	e s p a L a~ s u
ESPALHA'R	e s p a L a X
ESPALMA'R	e s p a w m a X
ESPAMPANA'NTE	e s p a~ p a n a~ tS i
ESPANADE'LA	e s p a n a d E l a
ESPANA'DO	e s p a n a d u
ESPANADO'R	e s p a n a d o X
ESPANCA'R	e s p a~ k a X
ESPANHO'L	e s p a J O w
